Container_ID,Tenant_ID,Requested_CPU,Requested_Memory_MB,Requested_Storage_GB,Requested_Bandwidth_Mbps,Execution_Start_Time_ms,Execution_Finish_Time_ms,Makespan_ms,Server_ID,Available_CPU,Available_Memory_GB,Available_Storage_TB,Available_Bandwidth_Mbps,Power_Consumption_Watts,Inter_Container_Communication_Latency_ms,Routing_Path_Efficiency,Bandwidth_Allocation_Mbps,Active_Switches,Energy_Efficiency_Score,Execution_Cost_$,Resource_Utilization_Efficiency,SLA_Violation_Rate,Power_Consumption_Switches_Watts,Total_Data_Transferred_MB,Optimal
50,2,7,2996,64,289,7871,21589,3338,34,8,397,6,2414,196.47650215676094,5.841681420011114,0.7718054684782346,247,1,0.5792200352275578,58.91030286430412,94.51545988872822,15.15053988265689,15.910630995609065,6216,0
51,6,10,2545,397,646,3972,12657,4556,42,45,170,9,4512,114.65943133289574,9.485727490343614,0.8750345312452585,182,3,0.042268994235934554,22.427525560028965,73.58835755749118,16.820552755148235,107.52578066730467,6433,0
52,10,7,1495,385,492,4922,43764,4855,1,31,255,1,3983,369.4698830454108,0.7806344256779054,0.6141627026161989,88,3,0.5867547966913881,84.73622780858152,87.19310724429992,15.236261937517275,26.06119690577875,861,0
53,4,1,5626,263,918,5997,14164,3353,39,56,151,4,8316,290.17643615215,5.12320152906511,0.1881999816798623,473,1,0.27457269567959663,49.244844222674736,57.001961563217606,7.080098863624853,99.18493192095252,2507,0
54,18,7,381,33,120,8032,38542,3681,32,8,422,1,6839,114.7255119456399,3.3563058042861718,0.28527799694087974,907,7,0.03248132203589471,82.27134828945583,83.5359762853524,19.934528021154662,187.25955671158738,985,0
55,12,5,12513,171,875,1992,29437,4199,26,52,377,1,9429,54.15871478248147,5.132285773339276,0.4759266973649633,614,1,0.8208533046946633,40.6606523652031,61.816300880472895,8.690053874386088,146.7546684736731,6322,0
56,2,3,12760,167,148,9112,49505,3672,17,29,396,8,8002,413.6706720608957,0.3373569290276636,0.9543459516233008,973,7,0.2757296369807559,98.47008683613238,71.91904485704657,0.4892940551786684,24.70821810280568,2743,0
57,10,13,7729,91,444,6287,30601,1938,48,8,384,2,1289,129.2874827739114,3.198951011545655,0.2473513718177428,510,4,0.7965485540464985,77.0718869142795,50.84314350410522,7.252339031709241,52.5998643196802,9527,0
58,4,3,12316,412,518,3240,39430,4344,27,25,79,1,7256,322.7974889993447,8.21669466051735,0.731645903919888,571,9,0.28821758295586697,96.5984254907461,57.5805318965238,2.555659091476865,137.9958597797525,5210,0
59,14,4,9656,168,282,2476,17009,1847,24,18,138,8,7442,201.61486088453552,5.584023165160911,0.4394482232929203,294,7,0.19432635387377428,51.4812152430949,54.60402465618099,2.4288523145675,179.9933535945949,1568,0
60,16,13,15654,197,108,7426,15552,1441,35,16,269,4,6984,313.468672241766,4.560766678879562,0.2978473483600218,232,5,0.9739355741044274,47.42174411584098,61.98720864691292,5.630700802137887,16.254531485151215,6392,0
61,15,12,5598,69,773,1389,20417,3550,46,31,492,3,3257,192.0441321420458,2.926698209981862,0.45591593702211375,602,7,0.36164532775501956,75.56983555159326,55.00090450121611,1.0675098835452168,164.36571502691285,8301,0
62,8,2,7607,412,859,1999,13671,1129,42,36,129,4,5620,89.12280231151438,3.050620975634424,0.07120671754123253,275,9,0.6013762114431604,88.04109717504167,84.5955013309781,13.77024376819126,116.74463726427865,5761,0
63,14,2,6894,314,113,2855,17519,4203,39,46,35,5,1841,150.3275038509891,3.8927041925467862,0.7986873709303625,676,6,0.6099814928144716,96.41816500696925,51.45199511046097,1.4797776840381016,113.75735180631459,9083,0
64,8,1,6826,328,223,9125,47730,1596,26,26,31,1,3788,134.62635491558402,8.372150028649148,0.24330192798296713,382,1,0.5604734821735018,32.522735412646725,80.88702503124989,4.065791108719123,191.984504723138,6163,1
65,16,15,3505,375,770,9850,23734,2958,49,36,160,1,7585,242.60870859783972,9.675410747401857,0.7254121231929704,242,6,0.9146957435212146,79.89058692687964,57.03539154127871,1.8579942898823876,152.05247639338688,7115,0
66,13,5,9366,220,673,3763,14722,2505,38,46,223,3,5469,346.2277025417708,4.442688275368708,0.06834837144819472,920,1,0.6744410713668685,21.143495203790117,97.25807285889485,1.2633546180606214,171.52258493066125,9954,0
67,18,4,7851,415,771,4663,15906,1861,23,21,34,6,5744,168.71273372586091,3.9941931036028424,0.9550985561656861,837,4,0.4037330041049302,54.60287723986998,96.65470365549271,5.355033310790834,77.25915821348667,6423,0
68,15,11,13861,161,796,5986,41096,4461,22,53,391,1,9189,55.431470885278074,8.480852680616643,0.1930149854056986,245,8,0.862380384524274,18.066830026079,61.27515512604813,11.4379793532074,115.32916775739787,9035,0
69,13,10,12371,118,174,2481,24699,3640,4,56,407,2,4123,283.52181391914064,4.326362674299405,0.8827420762070805,680,5,0.1810628991159644,34.80499643885886,80.72106491115147,19.293711128936835,126.92707871127644,2528,0
70,9,15,6550,85,862,8256,32438,1998,49,33,181,7,816,322.59177021153744,5.564979905726947,0.8094732096154345,926,5,0.5442367576104175,93.14270088392529,51.40026597362292,17.511133086992125,71.10094866886837,9408,0
71,15,2,6783,39,529,4731,44576,3372,9,29,53,1,4067,483.29172230081434,2.38632247952757,0.967859924081416,837,8,0.9505503719437564,14.694460907331301,96.5894271525587,17.518678508906497,118.3471437400059,7208,0
72,13,3,6013,323,293,8262,43247,4140,4,19,196,7,7523,315.2618613919611,7.460675104212845,0.4778906609457496,772,8,0.6253976298804127,63.27684942400614,76.14936540958549,3.521340720753152,54.964522101145626,1454,0
73,1,7,12851,495,526,1451,38938,4731,7,16,364,4,6550,262.0276517201638,5.36668435088074,0.7273972938459515,323,1,0.8169684504748762,59.3361318654476,52.161157570888946,5.298143869956402,37.24137750296552,5927,0
74,7,7,13903,126,666,4093,28600,3495,23,42,120,6,3315,308.0307316539667,8.109442047379382,0.37071065703778405,946,5,0.6535607255451928,12.16176143562775,67.12499965040686,1.527866335906114,81.0543492626932,2580,0
75,9,12,2225,424,622,1882,31435,2551,2,36,115,8,7925,467.5552834379122,7.82925402728383,0.18436823801969382,951,5,0.8393708635378904,32.665306472504334,53.84247309306171,15.569366798303701,150.46502946182304,1286,0
76,1,4,11241,365,173,5408,29581,3866,49,29,105,9,490,422.7701655207408,2.228547205873283,0.4430759329334488,822,8,0.9444878798452436,56.34185230107505,69.64722196866799,1.396326029711239,184.07555813403863,7009,0
77,12,5,1147,201,895,5068,25191,2640,24,51,430,6,9991,195.34043001371361,7.184791950521848,0.16574901538845488,389,1,0.2729217275327368,18.79914303795018,83.49631710806615,11.133913416417066,96.96566978466419,4187,0
78,8,5,4726,28,668,4277,30190,4236,40,4,315,9,3137,156.76446364571177,8.020538638718577,0.9820446227863839,803,7,0.16966108125671886,80.08230327564026,73.49449540207198,4.957511446479015,132.136500772332,6328,0
79,11,6,7431,441,73,9566,38386,2511,31,52,459,4,332,168.18512556473314,3.5264616837457115,0.09624649114071637,623,7,0.4839907503325399,97.21843530252151,69.18610873597272,4.868912680574895,29.577054885269092,2931,0
80,19,14,10481,182,100,8951,42721,2736,47,41,347,6,3231,276.9894678718458,1.8088302177325182,0.5892117234526204,572,9,0.7018624268242158,21.55446405625096,55.95785227702324,19.814501104952104,181.84811412494247,3761,0
81,17,9,9812,237,126,5690,24704,3756,31,5,416,8,7734,384.82225305286,0.12605834023792298,0.6264638552540559,429,2,0.2271912531822161,18.77250528257854,62.24695228468282,15.135596139570747,118.03480057828753,1848,0
82,8,2,8576,359,875,5595,13123,2449,47,52,94,9,333,276.448643232333,4.563946165622166,0.5380795428740542,61,3,0.004101450430167075,45.54801367256472,55.00716438691756,16.738787165821,158.26426704877983,8034,0
83,3,5,9462,192,276,5559,36174,4768,40,9,88,3,1491,80.50837812265067,3.589084042234532,0.6621858857118336,730,4,0.34293511583670533,74.80175118628921,90.37493658283304,11.439653706880254,160.94382817506482,9406,0
84,3,12,10247,122,831,8291,25586,2857,48,49,438,2,9547,375.6113151979914,5.593607354871549,0.11618077501189095,828,1,0.9688593354677885,28.23190096250162,56.76199139923613,17.420285747874985,58.73130000994013,7652,0
85,1,3,7068,192,694,9160,42976,1264,43,53,441,6,989,412.68655790192923,1.9616068166289793,0.5550185242052911,652,7,0.6949674606058467,2.086002878858312,79.76866832744467,12.909810783327059,110.54314610455141,3364,0
86,5,4,7775,490,568,1112,36416,4946,34,41,191,4,8002,180.27403930387385,8.610688921898104,0.28721257112736154,518,3,0.40132544394122394,54.16794074048611,67.13702067944229,18.923474095926906,192.4911527965857,5472,0
87,10,10,13925,155,149,6131,12814,3659,24,45,411,1,845,348.8565826775077,2.651776634718286,0.9401760633010566,791,3,0.19257609734684034,95.66439671995403,61.298919232759175,5.6267717209127355,27.030563515957276,5874,0
88,7,6,4868,328,255,4197,24001,4413,49,27,111,8,527,241.966355474477,2.341653090367735,0.7620716534397257,954,3,0.356089673754747,39.18855785515387,81.97342197460519,11.906390915657902,139.77948062561705,5463,0
89,9,12,9966,125,670,1139,27508,3879,26,21,360,9,831,450.10371007734926,4.859069159195124,0.9725144821597427,214,8,0.16983943330124796,42.07144196289173,72.85011546884704,13.802626958737843,192.83017482668268,7991,0
90,7,8,12629,122,767,2424,30630,4797,16,30,118,9,899,430.3515011723329,5.038625135068315,0.037556069740189546,740,9,0.10630582131295141,96.8932815396924,70.00727336422796,7.858746100556133,67.10965053026422,6950,0
91,9,1,1454,260,404,3949,24380,4349,47,44,417,2,6607,286.444399239339,2.2293437649724193,0.2851331751807087,266,2,0.9067423725725539,69.49130040151016,79.64260024461107,17.594159648081064,173.67510506682615,1163,0
92,8,10,12321,485,496,4168,46699,3721,13,11,478,9,7125,361.1774956161175,2.791421194586566,0.195422586638349,194,1,0.9976503383754736,71.94527509192831,74.56338142450004,19.59606326208309,187.39493362757162,6759,0
93,12,14,15808,260,485,9708,23317,2462,15,31,239,7,9127,447.5073654599468,1.780081867636925,0.0111545873118305,154,9,0.1641144395957903,56.31393033656966,65.17421042757803,9.875389827453231,151.94637978501677,3848,0
94,2,8,14902,312,526,7043,46739,1156,27,13,21,5,7724,273.072654535224,7.212755765399351,0.24232573024632142,699,6,0.054522558878279725,97.46346016523783,77.95306438826259,7.812813096086781,53.952379338322075,4645,0
95,1,11,5494,468,986,7989,45785,2445,4,20,137,7,8426,190.96283321996987,7.7238814094154105,0.6787759835204289,23,9,0.32973110714621234,68.91776179411305,83.47492882753473,9.438758571129174,73.46013657705284,2832,0
96,16,14,15833,322,193,8236,42980,3298,16,58,251,9,5483,389.14976205931157,4.677052124846898,0.23108892213456855,255,6,0.4616591807614153,89.51377188535643,51.33465792934271,17.054734914638633,16.803765939368837,1972,0
97,5,7,10922,127,29,7261,34799,3925,30,32,442,8,6307,149.02981465311132,7.169461524581672,0.5090034454826182,196,2,0.20482124707585447,69.9679486867488,73.29358644538377,12.909368510363352,167.9761145066175,4820,0
98,3,1,6345,310,946,1887,46183,2632,44,61,131,6,2638,224.8390166027189,7.38576038018071,0.8878181149649986,346,1,0.30142491179855846,73.53807090155556,52.88416422917719,0.8954474503619014,171.42612543710518,2069,0
99,12,2,11933,170,567,4104,40166,3577,30,9,178,4,3818,439.57725669805717,1.4689277240103051,0.6937579203490752,268,8,0.2008707356916577,29.112051122010428,59.320270703405555,10.843398208914296,130.2149588935766,9176,0
100,8,3,6513,410,533,1049,30480,3374,36,17,241,1,8332,375.9900531211918,9.665162445861913,0.39462906990603197,875,3,0.7742605684324513,30.41752193158052,78.02543670389866,0.3460024548193963,76.98029174013175,418,0
101,3,1,12497,207,591,4951,12609,4008,3,25,245,6,3467,231.71495236137466,8.228216276254667,0.3724689389121083,49,1,0.7125779432472608,78.32016649264531,93.30944576327903,15.570707420068109,24.594095251584903,3817,0
102,1,14,15760,269,538,4560,11717,1894,22,57,197,3,5108,146.63502608376083,2.1243862658386528,0.45573581400848473,610,8,0.6349515157609817,29.740958288072974,94.14028395942424,6.566245470849275,153.08094588383278,5591,0
103,3,9,7961,157,892,1018,30945,3144,49,9,264,6,5329,210.18577587450645,1.9430338538860956,0.17704144105990638,646,1,0.38721785707920475,56.320730073073015,53.49720050693156,9.440149642346586,148.03997678588536,1474,0
104,5,8,3975,249,156,5821,36592,1512,22,29,333,6,7488,177.84686715234483,1.3440453412378692,0.6340007674159881,971,8,0.909040941314236,25.01029585957953,70.95525431433533,15.973562118152639,183.39447913039118,5542,0
105,15,2,558,56,675,7340,39141,1215,49,42,468,4,2515,129.24017957473427,1.469947769164992,0.3641528191046055,427,1,0.96953254153502,81.71663974282603,79.15032415022756,0.9289763457152311,148.80108399101883,8779,1
106,14,13,15335,484,313,9058,41009,4203,12,15,225,2,7271,384.49981110454553,7.506801810384092,0.8523653492620437,995,9,0.173639312625412,11.139084987646232,57.35349522751717,3.1708307118322088,167.45203902636035,550,0
107,3,9,12400,408,629,3606,17782,4331,21,38,159,9,3049,163.43144908257716,4.749577143821073,0.7565526600578163,360,9,0.22301264141187804,82.96171931219028,88.27161083723858,7.959207528902297,151.73137740175991,8644,0
108,1,7,13131,207,757,8846,37536,3172,4,17,407,2,4361,254.3753615754937,7.8510483101246855,0.61051316409216,18,9,0.5256310280003696,60.31270707070943,87.21176292186195,4.598503270911212,129.83056577934013,7280,0
109,5,9,1242,56,829,9643,44816,4153,31,25,360,3,5245,223.63675107624908,7.487923454067033,0.36420222264951607,359,3,0.09125056928224529,18.772262529225024,95.16705068533973,6.7580285155012625,91.12361489629176,2040,0
110,14,6,10311,87,873,7432,36933,4354,44,54,111,1,3566,491.9348203860339,6.085665863701694,0.2099318316734844,93,4,0.4364483988231128,54.24933501206121,50.42430060417215,19.9634947578493,181.40228864203277,2467,0
111,7,6,4696,133,591,4765,22618,2706,31,26,397,7,3188,225.99150986669923,6.895029405128927,0.7761518641056229,542,5,0.5817912647777101,28.321633801049312,60.834212199450135,16.508288751476215,133.68402866241928,7987,0
112,9,11,5165,84,704,3438,19307,3106,23,51,361,1,1215,85.99211725853965,0.28172167135350373,0.48640909899108653,998,6,0.5220735711373331,32.414386739576614,91.35933571226609,17.67803629920217,85.68751117352272,347,0
113,15,14,14531,368,771,7358,37671,2567,20,10,259,9,4678,90.42158865743781,3.1865987033697176,0.2247500381773575,802,9,0.33090858307802606,35.217651355528346,83.52900254134677,18.741092671315506,25.859166084571875,3603,0
114,15,4,15392,146,237,9319,21338,3208,15,43,101,1,2690,315.83917460887915,6.414439574668161,0.19517461504000622,367,4,0.5424458060772068,6.425592772534862,94.71949268492455,6.818717606283913,65.23392262183259,8859,0
115,10,10,3328,99,111,6941,49346,3331,23,53,430,5,7472,319.71359828221955,0.1925150395138176,0.16540090450135903,387,6,0.9588009542588478,98.5975722717016,52.858982726513325,5.941539155929454,113.30807961773131,8975,0
116,13,10,15762,409,596,8644,17548,3153,28,28,506,7,3673,238.44154571719474,0.4264717424576747,0.777161196205595,181,1,0.20601740429137605,3.2503093503092875,79.84819828582215,4.681249851441498,62.370720303076965,8935,1
117,19,13,13854,334,426,5855,32164,2128,16,16,409,3,3078,244.32966154041335,8.533691026456793,0.2289871853003117,34,2,0.6548313583940036,66.28343763110941,78.45232874468371,16.602338226162452,52.034716104401404,578,0
118,7,13,14543,70,967,7547,38526,4510,37,24,199,9,9522,74.26966227839205,6.871846130751511,0.5266422635251975,402,8,0.04339669415605185,37.185642010967314,51.783720818026616,13.5910372457037,110.20476767669096,2860,0
119,17,2,14221,147,225,8196,42222,1227,21,44,136,8,7413,282.44592967516803,2.7271603578914054,0.45154636097305645,112,4,0.06641640448143493,64.63642806557522,75.67610384562417,4.723439649657546,42.26586572018957,8068,0
120,4,7,3380,59,416,6911,31176,4771,15,13,347,3,7122,277.13276392115824,6.910832117175219,0.5796108992282839,711,7,0.551828224223585,35.689200483449625,80.47601556549621,7.539876584209098,162.07791203176964,6040,0
121,5,5,9775,268,408,7481,13941,4653,17,56,107,5,5075,117.29719335062504,7.945321024478706,0.8771549003711943,245,4,0.10493918032794947,67.40768956125999,59.56465871010536,10.134235278655964,102.02994875510501,4552,0
122,7,11,13636,470,932,3761,16695,3365,37,58,85,7,5025,96.7277237499174,3.1372634027900026,0.8677473900817306,419,9,0.022346788426857334,72.95062739588924,63.666479156233144,10.562801145475074,119.03392705290354,1468,0
123,13,6,10856,116,724,5456,36553,2487,13,62,419,4,8147,105.60762076977072,0.45677003724195575,0.45107607182485965,834,9,0.1715129976480222,69.08620877592452,82.01736731488685,17.774554571034294,38.002820843496224,2326,0
124,15,2,12121,122,713,7361,49965,1801,19,12,148,5,8190,95.46271092106633,9.334513334408571,0.015366250734723308,558,4,0.5648491709995744,11.484801937679412,73.41504737999792,7.611322658944326,71.6695037695798,3712,0
